# taxon distribution range models
# data save on : 2025-03-13T19:27:35+02:00
taxon	type	age	equator	pixel	density
Rhododendron javanicum	points	0	360	18931	1.000000
Rhododendron javanicum	points	0	360	18948	1.000000
Rhododendron javanicum	points	0	360	19304	1.000000
Rhododendron javanicum	points	0	360	19662	1.000000
Rhododendron javanicum	points	0	360	20008	1.000000
Rhododendron javanicum	points	0	360	20379	1.000000
Rhododendron javanicum	points	0	360	20393	1.000000
Rhododendron javanicum	points	0	360	20729	1.000000
Rhododendron javanicum	points	0	360	21089	1.000000
Rhododendron javanicum	points	0	360	21450	1.000000
Rhododendron javanicum	points	0	360	21810	1.000000
Rhododendron javanicum	points	0	360	21811	1.000000
Rhododendron javanicum	points	0	360	22531	1.000000
Rhododendron javanicum	points	0	360	22893	1.000000
Rhododendron javanicum	points	0	360	23247	1.000000
Rhododendron javanicum	points	0	360	23249	1.000000
Rhododendron javanicum	points	0	360	23250	1.000000
Rhododendron javanicum	points	0	360	23252	1.000000
Rhododendron javanicum	points	0	360	23253	1.000000
Rhododendron javanicum	points	0	360	23610	1.000000
Rhododendron javanicum	points	0	360	23611	1.000000
Rhododendron javanicum	points	0	360	23612	1.000000
Rhododendron javanicum	points	0	360	23613	1.000000
Rhododendron javanicum	points	0	360	23614	1.000000
Rhododendron kawakamii	points	0	360	12351	1.000000
Rhododendron kawakamii	points	0	360	12681	1.000000
Rhododendron konori	points	0	360	21121	1.000000
Rhododendron konori	points	0	360	21122	1.000000
Rhododendron konori	points	0	360	21842	1.000000
Rhododendron konori	points	0	360	22204	1.000000
Rhododendron konori	points	0	360	22211	1.000000
Rhododendron konori	points	0	360	22568	1.000000
Rhododendron konori	points	0	360	22570	1.000000
Rhododendron konori	points	0	360	22930	1.000000
Rhododendron konori	points	0	360	22932	1.000000
Rhododendron konori	points	0	360	23287	1.000000
Rhododendron konori	points	0	360	23288	1.000000
Rhododendron konori	points	0	360	23289	1.000000
Rhododendron konori	points	0	360	23645	1.000000
Rhododendron konori	points	0	360	24002	1.000000
Rhododendron konori	points	0	360	24359	1.000000
Rhododendron konori	points	0	360	24360	1.000000
Rhododendron laetum	points	0	360	21122	1.000000
Rhododendron laetum	points	0	360	21123	1.000000
Rhododendron lagunculicarpum	points	0	360	21829	1.000000
Rhododendron lagunculicarpum	points	0	360	22188	1.000000
Rhododendron leptanthum	points	0	360	22572	1.000000
Rhododendron leptanthum	points	0	360	22932	1.000000
Rhododendron leptanthum	points	0	360	23288	1.000000
Rhododendron leptanthum	points	0	360	23289	1.000000
Rhododendron leptanthum	points	0	360	23645	1.000000
Rhododendron leptanthum	points	0	360	24001	1.000000
Rhododendron leptanthum	points	0	360	24002	1.000000
Rhododendron leptanthum	points	0	360	24358	1.000000
Rhododendron leptanthum	points	0	360	24359	1.000000
Rhododendron leucogigas	points	0	360	21849	1.000000
Rhododendron lochiae	points	0	360	26799	1.000000
Rhododendron loranthiflorum	points	0	360	22936	1.000000
Rhododendron loranthiflorum	points	0	360	22941	1.000000
Rhododendron loranthiflorum	points	0	360	23297	1.000000
Rhododendron loranthiflorum	points	0	360	23645	1.000000
Rhododendron loranthiflorum	points	0	360	24371	1.000000
Rhododendron luraluense	points	0	360	21496	1.000000
Rhododendron luraluense	points	0	360	22941	1.000000
Rhododendron luraluense	points	0	360	24013	1.000000
Rhododendron maddenii	points	0	360	10398	1.000000
Rhododendron maddenii	points	0	360	11033	1.000000
Rhododendron maddenii	points	0	360	11034	1.000000
Rhododendron maddenii	points	0	360	11353	1.000000
Rhododendron maddenii	points	0	360	11354	1.000000
Rhododendron maddenii	points	0	360	11677	1.000000
Rhododendron maddenii	points	0	360	11678	1.000000
Rhododendron maddenii	points	0	360	12333	1.000000
Rhododendron maddenii	points	0	360	12999	1.000000
Rhododendron maddenii	points	0	360	14355	1.000000
Rhododendron maius	points	0	360	22207	1.000000
