pixel	lat	lon
222	82.000000	144.000000
223	82.000000	151.200000
224	82.000000	158.400000
225	82.000000	165.600000
226	82.000000	172.800000
227	81.000000	-176.785714
228	81.000000	-170.357143
229	81.000000	-163.928571
230	81.000000	-157.500000
231	81.000000	-151.071429
232	81.000000	-144.642857
233	81.000000	-138.214286
234	81.000000	-131.785714
235	81.000000	-125.357143
236	81.000000	-118.928571
237	81.000000	-112.500000
238	81.000000	-106.071429
239	81.000000	-99.642857
240	81.000000	-93.214286
241	81.000000	-86.785714
242	81.000000	-80.357143
243	81.000000	-73.928571
244	81.000000	-67.500000
245	81.000000	-61.071429
246	81.000000	-54.642857
247	81.000000	-48.214286
248	81.000000	-41.785714
249	81.000000	-35.357143
250	81.000000	-28.928571
251	81.000000	-22.500000
252	81.000000	-16.071429
253	81.000000	-9.642857
254	81.000000	-3.214286
255	81.000000	3.214286
256	81.000000	9.642857
257	81.000000	16.071429
258	81.000000	22.500000
259	81.000000	28.928571
260	81.000000	35.357143
261	81.000000	41.785714
262	81.000000	48.214286
263	81.000000	54.642857
264	81.000000	61.071429
265	81.000000	67.500000
266	81.000000	73.928571
267	81.000000	80.357143
268	81.000000	86.785714
269	81.000000	93.214286
270	81.000000	99.642857
271	81.000000	106.071429
272	81.000000	112.500000
273	81.000000	118.928571
274	81.000000	125.357143
275	81.000000	131.785714
276	81.000000	138.214286
277	81.000000	144.642857
278	81.000000	151.071429
279	81.000000	157.500000
280	81.000000	163.928571
281	81.000000	170.357143
282	81.000000	176.785714
283	80.000000	-180.000000
284	80.000000	-174.285714
285	80.000000	-168.571429
286	80.000000	-162.857143
287	80.000000	-157.142857
288	80.000000	-151.428571
289	80.000000	-145.714286
290	80.000000	-140.000000
291	80.000000	-134.285714
292	80.000000	-128.571429
293	80.000000	-122.857143
294	80.000000	-117.142857
295	80.000000	-111.428571
296	80.000000	-105.714286
297	80.000000	-100.000000
298	80.000000	-94.285714
299	80.000000	-88.571429
300	80.000000	-82.857143
301	80.000000	-77.142857
302	80.000000	-71.428571
303	80.000000	-65.714286
304	80.000000	-60.000000
305	80.000000	-54.285714
306	80.000000	-48.571429
307	80.000000	-42.857143
308	80.000000	-37.142857
309	80.000000	-31.428571
310	80.000000	-25.714286
311	80.000000	-20.000000
312	80.000000	-14.285714
313	80.000000	-8.571429
314	80.000000	-2.857143
315	80.000000	2.857143
316	80.000000	8.571429
317	80.000000	14.285714
318	80.000000	20.000000
319	80.000000	25.714286
320	80.000000	31.428571
321	80.000000	37.142857
322	80.000000	42.857143
323	80.000000	48.571429
324	80.000000	54.285714
325	80.000000	60.000000
326	80.000000	65.714286
327	80.000000	71.428571
328	80.000000	77.142857
329	80.000000	82.857143
330	80.000000	88.571429
331	80.000000	94.285714
332	80.000000	100.000000
333	80.000000	105.714286
334	80.000000	111.428571
335	80.000000	117.142857
336	80.000000	122.857143
337	80.000000	128.571429
338	80.000000	134.285714
339	80.000000	140.000000
340	80.000000	145.714286
341	80.000000	151.428571
342	80.000000	157.142857
343	80.000000	162.857143
344	80.000000	168.571429
345	80.000000	174.285714
346	79.000000	-177.391304
347	79.000000	-172.173913
348	79.000000	-166.956522
349	79.000000	-161.739130
350	79.000000	-156.521739
351	79.000000	-151.304348
352	79.000000	-146.086957
353	79.000000	-140.869565
354	79.000000	-135.652174
355	79.000000	-130.434783
356	79.000000	-125.217391
357	79.000000	-120.000000
358	79.000000	-114.782609
359	79.000000	-109.565217
360	79.000000	-104.347826
361	79.000000	-99.130435
362	79.000000	-93.913043
363	79.000000	-88.695652
364	79.000000	-83.478261
365	79.000000	-78.260870
366	79.000000	-73.043478
367	79.000000	-67.826087
368	79.000000	-62.608696
369	79.000000	-57.391304
370	79.000000	-52.173913
371	79.000000	-46.956522
372	79.000000	-41.739130
373	79.000000	-36.521739
374	79.000000	-31.304348
375	79.000000	-26.086957
376	79.000000	-20.869565
377	79.000000	-15.652174
378	79.000000	-10.434783
379	79.000000	-5.217391
380	79.000000	0.000000
381	79.000000	5.217391
382	79.000000	10.434783
383	79.000000	15.652174
384	79.000000	20.869565
385	79.000000	26.086957
386	79.000000	31.304348
387	79.000000	36.521739
388	79.000000	41.739130
389	79.000000	46.956522
390	79.000000	52.173913
391	79.000000	57.391304
392	79.000000	62.608696
393	79.000000	67.826087
394	79.000000	73.043478
395	79.000000	78.260870
396	79.000000	83.478261
397	79.000000	88.695652
398	79.000000	93.913043
399	79.000000	99.130435
400	79.000000	104.347826
401	79.000000	109.565217
402	79.000000	114.782609
403	79.000000	120.000000
404	79.000000	125.217391
405	79.000000	130.434783
406	79.000000	135.652174
407	79.000000	140.869565
408	79.000000	146.086957
409	79.000000	151.304348
410	79.000000	156.521739
411	79.000000	161.739130
412	79.000000	166.956522
413	79.000000	172.173913
414	79.000000	177.391304
415	78.000000	-180.000000
416	78.000000	-175.200000
417	78.000000	-170.400000
418	78.000000	-165.600000
419	78.000000	-160.800000
420	78.000000	-156.000000
421	78.000000	-151.200000
422	78.000000	-146.400000
423	78.000000	-141.600000
424	78.000000	-136.800000
425	78.000000	-132.000000
426	78.000000	-127.200000
427	78.000000	-122.400000
428	78.000000	-117.600000
429	78.000000	-112.800000
430	78.000000	-108.000000
431	78.000000	-103.200000
432	78.000000	-98.400000
433	78.000000	-93.600000
434	78.000000	-88.800000
435	78.000000	-84.000000
436	78.000000	-79.200000
437	78.000000	-74.400000
438	78.000000	-69.600000
439	78.000000	-64.800000
440	78.000000	-60.000000
441	78.000000	-55.200000
442	78.000000	-50.400000
443	78.000000	-45.600000
444	78.000000	-40.800000
445	78.000000	-36.000000
446	78.000000	-31.200000
447	78.000000	-26.400000
448	78.000000	-21.600000
449	78.000000	-16.800000
450	78.000000	-12.000000
451	78.000000	-7.200000
452	78.000000	-2.400000
453	78.000000	2.400000
454	78.000000	7.200000
455	78.000000	12.000000
456	78.000000	16.800000
457	78.000000	21.600000
458	78.000000	26.400000
459	78.000000	31.200000
460	78.000000	36.000000
461	78.000000	40.800000
462	78.000000	45.600000
463	78.000000	50.400000
464	78.000000	55.200000
465	78.000000	60.000000
466	78.000000	64.800000
467	78.000000	69.600000
468	78.000000	74.400000
469	78.000000	79.200000
470	78.000000	84.000000
471	78.000000	88.800000
472	78.000000	93.600000
473	78.000000	98.400000
474	78.000000	103.200000
475	78.000000	108.000000
476	78.000000	112.800000
477	78.000000	117.600000
478	78.000000	122.400000
479	78.000000	127.200000
480	78.000000	132.000000
481	78.000000	136.800000
482	78.000000	141.600000
483	78.000000	146.400000
484	78.000000	151.200000
485	78.000000	156.000000
486	78.000000	160.800000
487	78.000000	165.600000
488	78.000000	170.400000
489	78.000000	175.200000
490	77.000000	-177.777778
491	77.000000	-173.333333
492	77.000000	-168.888889
493	77.000000	-164.444444
494	77.000000	-160.000000
495	77.000000	-155.555556
496	77.000000	-151.111111
497	77.000000	-146.666667
498	77.000000	-142.222222
499	77.000000	-137.777778
500	77.000000	-133.333333
501	77.000000	-128.888889
502	77.000000	-124.444444
503	77.000000	-120.000000
504	77.000000	-115.555556
505	77.000000	-111.111111
506	77.000000	-106.666667
507	77.000000	-102.222222
508	77.000000	-97.777778
509	77.000000	-93.333333
510	77.000000	-88.888889
511	77.000000	-84.444444
512	77.000000	-80.000000
513	77.000000	-75.555556
514	77.000000	-71.111111
515	77.000000	-66.666667
516	77.000000	-62.222222
517	77.000000	-57.777778
518	77.000000	-53.333333
519	77.000000	-48.888889
520	77.000000	-44.444444
521	77.000000	-40.000000
522	77.000000	-35.555556
523	77.000000	-31.111111
524	77.000000	-26.666667
525	77.000000	-22.222222
526	77.000000	-17.777778
527	77.000000	-13.333333
528	77.000000	-8.888889
529	77.000000	-4.444444
530	77.000000	-0.000000
531	77.000000	4.444444
532	77.000000	8.888889
533	77.000000	13.333333
534	77.000000	17.777778
535	77.000000	22.222222
536	77.000000	26.666667
537	77.000000	31.111111
538	77.000000	35.555556
539	77.000000	40.000000
540	77.000000	44.444444
541	77.000000	48.888889
542	77.000000	53.333333
543	77.000000	57.777778
544	77.000000	62.222222
545	77.000000	66.666667
546	77.000000	71.111111
547	77.000000	75.555556
548	77.000000	80.000000
549	77.000000	84.444444
550	77.000000	88.888889
551	77.000000	93.333333
552	77.000000	97.777778
553	77.000000	102.222222
554	77.000000	106.666667
555	77.000000	111.111111
556	77.000000	115.555556
557	77.000000	120.000000
558	77.000000	124.444444
559	77.000000	128.888889
560	77.000000	133.333333
561	77.000000	137.777778
562	77.000000	142.222222
563	77.000000	146.666667
564	77.000000	151.111111
565	77.000000	155.555556
566	77.000000	160.000000
567	77.000000	164.444444
568	77.000000	168.888889
569	77.000000	173.333333
570	77.000000	177.777778
571	76.000000	-180.000000
572	76.000000	-175.862069
573	76.000000	-171.724138
574	76.000000	-167.586207
575	76.000000	-163.448276
576	76.000000	-159.310345
577	76.000000	-155.172414
578	76.000000	-151.034483
579	76.000000	-146.896552
580	76.000000	-142.758621
581	76.000000	-138.620690
582	76.000000	-134.482759
583	76.000000	-130.344828
584	76.000000	-126.206897
585	76.000000	-122.068966
586	76.000000	-117.931034
587	76.000000	-113.793103
588	76.000000	-109.655172
589	76.000000	-105.517241
590	76.000000	-101.379310
591	76.000000	-97.241379
592	76.000000	-93.103448
593	76.000000	-88.965517
594	76.000000	-84.827586
595	76.000000	-80.689655
596	76.000000	-76.551724
597	76.000000	-72.413793
598	76.000000	-68.275862
599	76.000000	-64.137931
600	76.000000	-60.000000
601	76.000000	-55.862069
602	76.000000	-51.724138
603	76.000000	-47.586207
604	76.000000	-43.448276
605	76.000000	-39.310345
606	76.000000	-35.172414
607	76.000000	-31.034483
608	76.000000	-26.896552
609	76.000000	-22.758621
610	76.000000	-18.620690
611	76.000000	-14.482759
612	76.000000	-10.344828
613	76.000000	-6.206897
614	76.000000	-2.068966
615	76.000000	2.068966
616	76.000000	6.206897
617	76.000000	10.344828
618	76.000000	14.482759
619	76.000000	18.620690
620	76.000000	22.758621
621	76.000000	26.896552
622	76.000000	31.034483
623	76.000000	35.172414
624	76.000000	39.310345
625	76.000000	43.448276
